id, latitude, longitude
501,47.36476545,8.502731351
502,47.36898592,8.501371351
503,47.37322644,8.503961324
504,47.36893603,8.511041287
505,47.36642577,8.514161272
506,47.33515226,8.524051274
507,47.40250037,8.535521027
508,47.39870996,8.539161016
509,47.40445058,8.533631033
510,47.39685976,8.541061009
511,47.39243933,8.549070971
512,47.39136902,8.536281059
513,47.39359931,8.537591043
514,47.38924883,8.541571031
515,47.38834871,8.54065104
516,47.38984892,8.542201025
517,47.38779869,8.544041019
518,47.38710863,8.546051009
519,47.3875286,8.539631049
520,47.38328813,8.543421038
521,47.38221802,8.544891031
522,47.37526726,8.552891002
523,47.37599735,8.553380997
524,47.37691748,8.554370988
525,47.37662745,8.555300983
526,47.37608737,8.553370997
527,47.37764766,8.562330936
528,47.37866775,8.559220952
529,47.37844781,8.567220904
530,47.37854784,8.568310897
531,47.38146824,8.571540867
532,47.36039579,8.596760789
533,47.35986571,8.594500804
534,47.35904561,8.596540795
535,47.36014575,8.595920795
536,47.34740417,8.606560777
537,47.34622401,8.605510786
538,47.34811426,8.605090782
539,47.34662402,8.595330839
540,47.34544386,8.593310854
541,47.34707409,8.598160823
542,47.34653402,8.597940825
543,47.34623397,8.596070836
544,47.34502381,8.593940851
545,47.34610399,8.6028108
546,47.34587396,8.602410803
547,47.34649404,8.603370796
548,47.34549392,8.605910786
549,47.34692409,8.603070797
550,47.34723413,8.602940796
551,47.34735415,8.604190789
552,47.39577055,8.608170592
553,47.39504046,8.609260589
554,47.40291066,8.550500925
555,47.40392079,8.55067092
556,47.40412079,8.54909093
557,47.40473087,8.549530925
558,47.40336068,8.54808094
559,47.40306064,8.547910942
560,47.40359071,8.548290938
561,47.40253065,8.553210909
562,47.40140047,8.55056093
563,47.40074036,8.548670945
564,47.4033508,8.55559089
565,47.40350082,8.555880888
566,47.40387087,8.556420883
567,47.40488087,8.548350932
568,47.40595101,8.548420928
569,47.40546099,8.550910913
570,47.40661114,8.551470905
